instance,algorithm,seed,run,best_veh,best_dist,cpu_time,valid
c208,QLEARNING,6,6,3,588.324,7.73438,1
c208,QLEARNING,7,7,3,588.324,7.53125,1
c208,QLEARNING,8,8,3,588.324,6.6875,1
c208,QLEARNING,10,10,3,588.324,6.85938,1
c208,QLEARNING,9,9,3,588.324,8.07812,1
r101,CLASSIC,3,3,19,1651.32,9.89062,1
r101,CLASSIC,4,4,19,1654.41,10.1094,1
r101,CLASSIC,2,2,19,1652.17,11.5312,1
r101,CLASSIC,1,1,19,1653.89,11.8594,1
r101,CLASSIC,5,5,19,1654.7,10.2656,1
r101,CLASSIC,6,6,19,1651.01,10.5,1
r101,CLASSIC,7,7,19,1653.15,10.0312,1
r101,CLASSIC,8,8,19,1652.21,11.4375,1
r101,CLASSIC,9,9,19,1653.86,9.39062,1
r101,QLEARNING,1,1,19,1652.47,9.64062,1
r101,CLASSIC,10,10,19,1651.32,11.1875,1
r101,QLEARNING,4,4,19,1653.15,9.42188,1
r101,QLEARNING,2,2,19,1656.03,10.8438,1
r101,QLEARNING,3,3,19,1653.81,10.75,1
r101,QLEARNING,5,5,19,1654.25,10.1094,1
r101,QLEARNING,6,6,19,1655.05,10.8594,1
r101,QLEARNING,7,7,19,1651.1,11.0156,1
r101,QLEARNING,9,9,19,1651.32,9.14062,1
r101,QLEARNING,8,8,19,1652.21,9.90625,1
r101,QLEARNING,10,10,19,1651.01,10.6094,1
r102,CLASSIC,1,1,17,1486.41,12.1406,1
r102,CLASSIC,2,2,17,1487.31,13.0781,1
r102,CLASSIC,4,4,17,1487.31,11.75,1
r102,CLASSIC,3,3,17,1486.41,14.8438,1
r102,CLASSIC,6,6,17,1487.28,12.2969,1
r102,CLASSIC,8,8,17,1487.31,10.5,1
r102,CLASSIC,5,5,17,1486.12,12.9531,1
r102,CLASSIC,7,7,17,1486.12,14.0469,1
r102,CLASSIC,9,9,17,1487.39,11.1094,1
r102,CLASSIC,10,10,17,1487.31,12.9844,1
r102,QLEARNING,2,2,17,1487.47,12.7969,1
r102,QLEARNING,1,1,17,1486.12,13.7656,1
r102,QLEARNING,4,4,17,1487.6,11.7812,1
r102,QLEARNING,5,5,17,1487.31,11.7969,1
r102,QLEARNING,3,3,17,1488.5,12.8906,1
r102,QLEARNING,6,6,17,1486.66,13.7969,1
r102,QLEARNING,8,8,17,1487.31,12.5469,1
r102,QLEARNING,7,7,17,1487.31,15.9062,1
r102,QLEARNING,10,10,17,1486.64,12.6562,1
r102,QLEARNING,9,9,17,1487.31,14.1719,1
r103,CLASSIC,2,2,13,1297.26,11.2969,1
r103,CLASSIC,1,1,14,1213.62,11.7344,1
r103,CLASSIC,3,3,13,1296.22,13.9062,1
r103,CLASSIC,4,4,14,1213.73,12.2969,1
r103,CLASSIC,5,5,13,1299.17,11.7656,1
r103,CLASSIC,6,6,14,1213.62,12.0938,1
r103,CLASSIC,8,8,14,1213.62,11.1562,1
r103,CLASSIC,7,7,14,1213.62,13.2656,1
r103,CLASSIC,10,10,14,1213.73,12.1875,1
r103,CLASSIC,9,9,14,1213.62,12.5,1
r103,QLEARNING,1,1,14,1214.81,11.5,1
r103,QLEARNING,2,2,13,1297.21,12.5938,1
r103,QLEARNING,3,3,13,1296.89,10.8438,1
r103,QLEARNING,4,4,13,1296.89,10.125,1
r103,QLEARNING,5,5,14,1214.81,10.8594,1
r103,QLEARNING,6,6,14,1213.73,12.3125,1
r103,QLEARNING,7,7,13,1313.04,11.8281,1
r103,QLEARNING,8,8,14,1213.73,12.1094,1
r103,QLEARNING,9,9,14,1214.7,10.3906,1
r104,CLASSIC,1,1,10,988.772,10,1
r103,QLEARNING,10,10,14,1218.57,10.6875,1
r104,CLASSIC,2,2,10,981.232,11.7969,1
r104,CLASSIC,3,3,10,982.547,10.5,1
r104,CLASSIC,4,4,10,985.565,10.2031,1
r104,CLASSIC,6,6,10,982.017,11.1562,1
r104,CLASSIC,7,7,10,989.835,11.9531,1
r104,CLASSIC,5,5,10,988.602,13.0625,1
r104,CLASSIC,9,9,10,982.547,13.5,1
r104,CLASSIC,8,8,10,981.232,13.6562,1
r104,CLASSIC,10,10,10,982.547,12.7969,1
r104,QLEARNING,1,1,10,989.146,12.3906,1
r104,QLEARNING,2,2,10,981.232,12.8594,1
r104,QLEARNING,3,3,10,981.232,11.7969,1
r104,QLEARNING,4,4,10,984.278,12.0781,1
r104,QLEARNING,5,5,10,987.566,14.5156,1
r104,QLEARNING,7,7,10,986.352,12.1719,1
r104,QLEARNING,6,6,10,981.232,12.1719,1
r104,QLEARNING,8,8,10,984.956,11.8906,1
r105,CLASSIC,1,1,14,1378.24,8.51562,1
r104,QLEARNING,9,9,10,984.918,12.7656,1
r104,QLEARNING,10,10,10,981.232,10.375,1
r105,CLASSIC,2,2,14,1380.39,8.42188,1
r105,CLASSIC,3,3,14,1377.63,10.4062,1
r105,CLASSIC,6,6,14,1377.63,8.53125,1
r105,CLASSIC,5,5,14,1377.11,9.4375,1
r105,CLASSIC,4,4,14,1377.33,9.53125,1
r105,CLASSIC,7,7,14,1377.63,9.32812,1
r105,CLASSIC,10,10,14,1385.86,8.89062,1
r105,CLASSIC,9,9,14,1377.11,9.76562,1
r105,CLASSIC,8,8,14,1377.63,11.0938,1
r105,QLEARNING,1,1,14,1377.63,9.1875,1
r105,QLEARNING,4,4,14,1377.33,9.29688,1
r105,QLEARNING,2,2,14,1377.11,11.0469,1
r105,QLEARNING,3,3,14,1377.11,10.8906,1
r105,QLEARNING,5,5,14,1385.79,10.1562,1
r105,QLEARNING,6,6,14,1387.75,9.71875,1
r105,QLEARNING,7,7,14,1384.99,9.95312,1
r105,QLEARNING,8,8,14,1377.33,11.2188,1
r105,QLEARNING,9,9,14,1377.11,9.04688,1
